INDEX	CODE	SHORT OPENING	OPENING	ORG		
576	B00	Fried Fox		Fried fox defense		1. e4 f6 2. d4 Kf7
577	A45	Gedult		Gedult attack		1. d4 Nf6 2. f3 d5 3. g4
578	A00	Gedult		Gedult's Opening		1. f3
579	C50	Giuoco Pianissimo		Giuoco Pianissimo		1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3
580	C50	Giuoco Pianissimo		Giuoco Pianissimo	Dubois Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 f5 5. Ng5 f4
581	C50	Giuoco Pianissimo		Giuoco Pianissimo		1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6
582	C50	Giuoco Pianissimo		Giuoco Pianissimo	Italian Four knights Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6 5. Nc3
583	C50	Giuoco Pianissimo		Giuoco Pianissimo	Canal Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6 5. Nc3 d6 6. Bg5
584	C50	Giuoco Piano		Giuoco Piano		1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
585	C50	Giuoco Piano		Giuoco Piano	Four knights Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. Nc3 Nf6
586	C50	Giuoco Piano		Giuoco Piano	Jerome gambit	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. Bxf7+
587	C53	Giuoco Piano		Giuoco Piano		1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3
588	C53	Giuoco Piano		Giuoco Piano	LaBourdonnais Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 d6 5. d4 exd4 6. cxd4 Bb6
589	C53	Giuoco Piano		Giuoco Piano	close Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Qe7
590	C53	Giuoco Piano		Giuoco Piano	center-hOlding Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Qe7 5. d4 Bb6
591	C53	Giuoco Piano		Giuoco Piano	Tarrasch Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Qe7 5. d4 Bb6 6. O-O Nf6 7. a4 a6 8. Re1 d6 9. h3
592	C53	Giuoco Piano		Giuoco Piano	Mestel Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Qe7 5. d4 Bb6 6. Bg5
593	C53	Giuoco Piano		Giuoco Piano	Eisinger Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Qe7 5. d4 Bb6 6. d5 Nb8 7. d6
594	C53	Giuoco Piano		Giuoco Piano		1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6
595	C53	Giuoco Piano		Giuoco Piano	Bird's attack	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. b4
596	C53	Giuoco Piano		Giuoco Piano		1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4
597	C53	Giuoco Piano		Giuoco Piano	Ghulam Kassim Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. e5 Ne4 7. Bd5 Nxf2 8. Kxf2 dxc3+ 9. Kg3
598	C53	Giuoco Piano		Giuoco Piano		1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. e5 d5
599	C53	Giuoco Piano		Giuoco Piano	Anderssen Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. e5 d5 7. Bb5 Ne4 8. cxd4 Bb4+
600	C54	Giuoco Piano		Giuoco Piano		1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4
601	C54	Giuoco Piano		Giuoco Piano	Krause Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Bd2 Nxe4 8. Bxb4 Nxb4 9. Bxf7+ Kxf7 10. Qb3+ d5 11. Ne5+ Kf6 12. f3
602	C54	Giuoco Piano		Giuoco Piano	Cracow Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Kf1
603	C54	Giuoco Piano		Giuoco Piano	Greco's attack	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3
604	C54	Giuoco Piano		Giuoco Piano	Greco Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3 Nxe4 8. O-O Nxc3
605	C54	Giuoco Piano		Giuoco Piano	Bernstein Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3 Nxe4 8. O-O Nxc3 9. bxc3 Bxc3 10. Qb3 d5
606	C54	Giuoco Piano		Giuoco Piano	Aitken Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3 Nxe4 8. O-O Nxc3 9. bxc3 Bxc3 10. Ba3
607	C54	Giuoco Piano		Giuoco Piano		1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3 Nxe4 8. O-O Bxc3
608	C54	Giuoco Piano		Giuoco Piano	Steinitz Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3 Nxe4 8. O-O Bxc3 9. bxc3 d5 10. Ba3
609	C54	Giuoco Piano		Giuoco Piano	Moeller (Therkatz) attack	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3 Nxe4 8. O-O Bxc3 9. d5
610	C54	Giuoco Piano		Giuoco Piano	Therkatz-Herzog Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3 Nxe4 8. O-O Bxc3 9. d5 Bf6 10. Re1 Ne7 11. Rxe4 d6 12. Bg5 Bxg5 13. Nxg5 O-O 14. Nxh7
611	C54	Giuoco Piano		Giuoco Piano	Moeller, bayonet attack	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3 Nxe4 8. O-O Bxc3 9. d5 Bf6 10. Re1 Ne7 11. Rxe4 d6 12. g4
612	C55	Giuoco piano		Giuoco piano	Rosentreter Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. O-O Bc5 5. d4 Bxd4 6. Nxd4 Nxd4 7. Bg5 h6 8. Bh4 g5 9. f4
613	C55	Giuoco piano		Giuoco piano		1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. O-O Bc5 5. d4 Bxd4 6. Nxd4 Nxd4 7. Bg5 d6
614	C55	Giuoco piano		Giuoco piano	Holzhausen attack	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. O-O Bc5 5. d4 Bxd4 6. Nxd4 Nxd4 7. Bg5 d6 8. f4 Qe7 9. fxe5 dxe5 10. Nc3
615	A00	Global Opening		Global Opening		1. h3 e5 2. a3
616	C40	Greco		Greco defense		1. e4 e5 2. Nf3 Qf6
617	A00	Grob		Grob's attack		1. g4
618	A00	Grob		Grob	Spike attack	1. g4 d5 2. Bg2 c6 3. g5
619	A00	Grob		Grob	Fritz gambit	1. g4 d5 2. Bg2 Bxg4 3. c4
620	A00	Grob		Grob	Romford counter-gambit	1. g4 d5 2. Bg2 Bxg4 3. c4 d4
621	D80	Gruenfeld		Gruenfeld defense		1. d4 Nf6 2. c4 g6 3. Nc3 d5
622	D80	Gruenfeld		Gruenfeld	Spike gambit	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. g4
623	D80	Gruenfeld		Gruenfeld	Stockholm Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bg5
624	D80	Gruenfeld		Gruenfeld	Lundin Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bg5 Ne4 5. Nxe4 dxe4 6. Qd2 c5
625	D81	Gruenfeld		Gruenfeld	Russian Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Qb3
626	D82	Gruenfeld		Gruenfeld	4.Bf4	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4
627	D83	Gruenfeld		Gruenfeld	Gruenfeld gambit	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4 Bg7 5. e3 O-O
628	D83	Gruenfeld		Gruenfeld	Gruenfeld gambit, Capablanca Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4 Bg7 5. e3 O-O 6. Rc1
629	D83	Gruenfeld		Gruenfeld	Gruenfeld gambit, Botvinnik Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4 Bg7 5. e3 O-O 6. Rc1 c5 7. dxc5 Be6
630	D84	Gruenfeld		Gruenfeld	Gruenfeld gambit accepted	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4 Bg7 5. e3 O-O 6. cxd5 Nxd5 7. Nxd5 Qxd5 8. Bxc7
631	D85	Gruenfeld		Gruenfeld	Exchange Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5
632	D85	Gruenfeld		Gruenfeld	Modern Exchange Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3
633	D86	Gruenfeld		Gruenfeld	Exchange, Classical Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4
634	D86	Gruenfeld		Gruenfeld	Exchange, Larsen Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 O-O 8. Ne2 Qd7 9. O-O b6
635	D86	Gruenfeld		Gruenfeld	Exchange, Simagin's lesser Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 O-O 8. Ne2 b6
636	D86	Gruenfeld		Gruenfeld	Exchange, Simagin's improved Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 O-O 8. Ne2 Nc6
637	D87	Gruenfeld		Gruenfeld	Exchange, Spassky Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 O-O 8. Ne2 c5
638	D87	Gruenfeld		Gruenfeld	Exchange, Seville Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 O-O 8. Ne2 c5 9. O-O Nc6 10. Be3 Bg4 11. f3 Na5 12. Bxf7+
639	D88	Gruenfeld		Gruenfeld	Spassky Variation , Main line, 10...cd, 11.cd	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 O-O 8. Ne2 c5 9. O-O Nc6 10. Be3 cxd4 11. cxd4
640	D89	Gruenfeld		Gruenfeld	Spassky Variation , Main line, 13.Bd3	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 O-O 8. Ne2 c5 9. O-O Nc6 10. Be3 cxd4 11. cxd4 Bg4 12. f3 Na5 13. Bd3 Be6
641	D89	Gruenfeld		Gruenfeld	Exchange, Sokolsky Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 O-O 8. Ne2 c5 9. O-O Nc6 10. Be3 cxd4 11. cxd4 Bg4 12. f3 Na5 13. Bd3 Be6 14. d5
642	D90	Gruenfeld		Gruenfeld	Three knights Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3
643	D90	Gruenfeld		Gruenfeld	Schlechter Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 c6
644	D90	Gruenfeld		Gruenfeld	Three knights Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7
645	D90	Gruenfeld		Gruenfeld	Flohr Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qa4+
646	D91	Gruenfeld		Gruenfeld	5.Bg5	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Bg5
647	D92	Gruenfeld		Gruenfeld	5.Bf4	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Bf4
648	D93	Gruenfeld		Gruenfeld with Bf4    e3		1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Bf4 O-O 6. e3
649	D94	Gruenfeld		Gruenfeld	5000	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3
650	D94	Gruenfeld		Gruenfeld	Makogonov Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3 O-O 6. b4
651	D94	Gruenfeld		Gruenfeld	Opovcensky Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3 O-O 6. Bd2
652	D94	Gruenfeld		Gruenfeld with e3    Bd3		1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3 O-O 6. Bd3
653	D94	Gruenfeld		Gruenfeld	Smyslov defense	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3 O-O 6. Bd3 c6 7. O-O Bg4
654	D94	Gruenfeld		Gruenfeld	Flohr defense	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3 O-O 6. Bd3 c6 7. O-O Bf5
655	D95	Gruenfeld		Gruenfeld with e3 & Qb3		1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3 O-O 6. Qb3
656	D95	Gruenfeld		Gruenfeld	Botvinnik Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3 O-O 6. Qb3 e6
657	D95	Gruenfeld		Gruenfeld	Pachman Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3 O-O 6. Qb3 dxc4 7. Bxc4 Nbd7 8. Ng5
658	D96	Gruenfeld		Gruenfeld	Russian Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3
659	D97	Gruenfeld		Gruenfeld	Russian Variation with e4	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4
660	D97	Gruenfeld		Gruenfeld	Russian, Alekhine (Hungarian) Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 a6
661	D97	Gruenfeld		Gruenfeld	Russian, Szabo (Boleslavsky) Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 c6
662	D97	Gruenfeld		Gruenfeld	Russian, Levenfish Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 b6
663	D97	Gruenfeld		Gruenfeld	Russian, Byrne (Simagin) Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 Nc6
664	D97	Gruenfeld		Gruenfeld	Russian, Prins Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 Na6
665	D98	Gruenfeld		Gruenfeld	Russian, Smyslov Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 Bg4
666	D98	Gruenfeld		Gruenfeld	Russian, Keres Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 Bg4 8. Be3 Nfd7 9. Be2 Nb6 10. Qd3 Nc6 11. O-O-O
667	D99	Gruenfeld		Gruenfeld defense	Smyslov, Main line	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 Bg4 8. Be3 Nfd7 9. Qb3
668	D99	Gruenfeld		Gruenfeld defense	Smyslov, Yugoslav Variation 	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 Bg4 8. Be3 Nfd7 9. Qb3 c5
669	B00	Guatemala		Guatemala defense		1. e4 b6 2. d4 Ba6
670	C40	Gunderam		Gunderam defense		1. e4 e5 2. Nf3 Qe7
671	C21	Halasz		Halasz gambit		1. e4 e5 2. d4 exd4 3. f4
672	A00	Hammerschlag		Hammerschlag (Fried fox/Pork chop Opening)		1. f3 e5 2. Kf2
673	A43	Hawk		Hawk (Habichd) defense		1. d4 c5 2. d5 Nf6 3. Nf3 c4
674	B00	Hippopotamus		Hippopotamus defense		1. e4 Nh6 2. d4 g6 3. c4 f6
675	C50	Hungarian		Hungarian defense		1. e4 e5 2. Nf3 Nc6 3. Bc4 Be7
676	C50	Hungarian		Hungarian defense	Tartakower Variation 	1. e4 e5 2. Nf3 Nc6 3. Bc4 Be7 4. d4 exd4 5. c3 Nf6 6. e5 Ne4
677	C44	Inverted Hanham		Inverted Hanham		1. e4 e5 2. Nf3 Nc6 3. Be2 Nf6 4. d3 d5 5. Nbd2
678	C44	Inverted Hungarian		Inverted Hungarian		1. e4 e5 2. Nf3 Nc6 3. Be2
679	C44	Irish		Irish (Chicago) gambit		1. e4 e5 2. Nf3 Nc6 3. Nxe5 Nxe5 4. d4
680	A50	Kevitz-Trajkovich		Kevitz-Trajkovich defense		1. d4 Nf6 2. c4 Nc6
681	C30	King's Gambit		King's gambit		1. e4 e5 2. f4
682	C30	King's Gambit		KGD	Keene's defense	1. e4 e5 2. f4 Qh4+ 3. g3 Qe7
683	C30	King's Gambit		KGD	Mafia defense	1. e4 e5 2. f4 c5
684	C30	King's Gambit		KGD	Norwalde Variation 	1. e4 e5 2. f4 Qf6
685	C30	King's Gambit		KGD	Norwalde Variation , Buecker gambit	1. e4 e5 2. f4 Qf6 3. Nf3 Qxf4 4. Nc3 Bb4 5. Bc4
686	C30	King's Gambit		KGD	Classical Variation 	1. e4 e5 2. f4 Bc5
687	C30	King's Gambit		KGD	Classical, Svenonius Variation 	1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nf6 5. Bc4 Nc6 6. d3 Bg4 7. h3 Bxf3 8. Qxf3 exf4
688	C30	King's Gambit		KGD	Classical, Hanham Variation 	1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nd7
689	C30	King's Gambit		KGD	Classical, 4.c3	1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3
690	C30	King's Gambit		KGD	Classical, Marshall attack	1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3 Bg4 5. fxe5 dxe5 6. Qa4+
691	C30	King's Gambit		KGD	Classical counter-gambit	1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3 f5
692	C30	King's Gambit		KGD	Classical, Reti Variation 	1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3 f5 5. fxe5 dxe5 6. d4 exd4 7. Bc4
693	C30	King's Gambit		KGD	Classical, SOldatenkov Variation 	1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. fxe5
694	C30	King's Gambit		KGD	Classical, Heath Variation 	1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. b4
695	C30	King's Gambit		KGD	2...Nf6	1. e4 e5 2. f4 Nf6
696	C31	King's Gambit		KGD	Falkbeer counter-gambit	1. e4 e5 2. f4 d5
697	C31	King's Gambit		KGD	Falkbeer, Tartakower Variation 	1. e4 e5 2. f4 d5 3. Nf3
698	C31	King's Gambit		KGD	Falkbeer, Milner-Barry Variation 	1. e4 e5 2. f4 d5 3. Nc3
699	C31	King's Gambit		KGD	Falkbeer counter-gambit	1. e4 e5 2. f4 d5 3. exd5
700	C31	King's Gambit		KGD	Nimzovich counter-gambit	1. e4 e5 2. f4 d5 3. exd5 c6
701	C31	King's Gambit		KGD	Falkbeer, 3...e4	1. e4 e5 2. f4 d5 3. exd5 e4
702	C31	King's Gambit		KGD	Falkbeer, Rubinstein Variation 	1. e4 e5 2. f4 d5 3. exd5 e4 4. Nc3 Nf6 5. Qe2
703	C31	King's Gambit		KGD	Falkbeer, Nimzovich Variation 	1. e4 e5 2. f4 d5 3. exd5 e4 4. Bb5+
704	C31	King's Gambit		KGD	Falkbeer, 4.d3	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3
705	C31	King's Gambit		KGD	Falkbeer, Morphy gambit	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Nc3 Bb4 6. Bd2 e3
706	C32	King's Gambit		KGD	Falkbeer, 5.de	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4
707	C32	King's Gambit		KGD	Falkbeer, Alapin Variation 	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Qe2 Bf2+ 8. Kd1 Qxd5+ 9. Nfd2
708	C32	King's Gambit		KGD	Falkbeer, Main line, 7...Bf5	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Qe2 Bf5
709	C32	King's Gambit		KGD	Falkbeer, Tarrasch Variation 	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Qe2 Bf5 8. g4 O-O
710	C32	King's Gambit		KGD	Falkbeer, Charousek gambit	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Qe2
711	C32	King's Gambit		KGD	Falkbeer, Charousek Variation 	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Qe2 Qxd5 7. Nd2 f5 8. g4
712	C32	King's Gambit		KGD	Falkbeer, Keres Variation 	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Nd2
713	C32	King's Gambit		KGD	Falkbeer, Reti Variation 	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2
714	C33	King's Gambit		King's gambit accepted		1. e4 e5 2. f4 exf4
715	C33	King's Gambit		KGA	Tumbleweed gambit	1. e4 e5 2. f4 exf4 3. Kf2
716	C33	King's Gambit		KGA	Orsini gambit	1. e4 e5 2. f4 exf4 3. b3
717	C33	King's Gambit		KGA	Pawn's gambit (Stamma gambit)	1. e4 e5 2. f4 exf4 3. h4
718	C33	King's Gambit		KGA	Schurig gambit	1. e4 e5 2. f4 exf4 3. Bd3
719	C33	King's Gambit		KGA	Carrera (Basman) gambit	1. e4 e5 2. f4 exf4 3. Qe2
720	C33	King's Gambit		KGA	Villemson (Steinitz) gambit	1. e4 e5 2. f4 exf4 3. d4
721	C33	King's Gambit		KGA	Keres (Mason-Steinitz) gambit	1. e4 e5 2. f4 exf4 3. Nc3
722	C33	King's Gambit		KGA	Breyer gambit	1. e4 e5 2. f4 exf4 3. Qf3
723	C33	King's Gambit		KGA	Lesser Bishop's (Petroff-Jaenisch-Tartakower) gambit	1. e4 e5 2. f4 exf4 3. Be2
724	C33	King's Gambit		KGA	Bishop's gambit	1. e4 e5 2. f4 exf4 3. Bc4
725	C33	King's Gambit		KGA	Bishop's gambit, Chigorin's attack	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d5 5. Bxd5 g5 6. g3
726	C33	King's Gambit		KGA	Bishop's gambit, Greco Variation 	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 Bc5
727	C33	King's Gambit		KGA	Bishop's gambit, Classical defense	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 g5
728	C33	King's Gambit		KGA	Bishop's gambit, Grimm attack	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 g5 5. Nc3 Bg7 6. d4 d6 7. e5
729	C33	King's Gambit		KGA	Bishop's gambit, Classical defense	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 g5 5. Nc3 Bg7 6. d4 Ne7
730	C33	King's Gambit		KGA	Bishop's gambit, McDonnell attack	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 g5 5. Nc3 Bg7 6. d4 Ne7 7. g3
731	C33	King's Gambit		KGA	Bishop's gambit, McDonnell attack	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 g5 5. Nc3 Bg7 6. g3
732	C33	King's Gambit		KGA	Bishop's gambit, Fraser Variation 	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 g5 5. Nc3 Bg7 6. g3 fxg3 7. Qf3
733	C33	King's Gambit		KGA	Bishop's gambit, Classical defense, Cozio attack	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 g5 5. Qf3
734	C33	King's Gambit		KGA	Bishop's gambit, Boden defense	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 Nc6
735	C33	King's Gambit		KGA	Bishop's gambit, Bryan counter-gambit	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5
736	C33	King's Gambit		KGA	Bishop's gambit, Bryan counter-gambit	1. e4 e5 2. f4 exf4 3. Bc4 b5
737	C33	King's Gambit		KGA	Bishop's gambit, Steinitz defense	1. e4 e5 2. f4 exf4 3. Bc4 Ne7
738	C33	King's Gambit		KGA	Bishop's gambit, Maurian defense	1. e4 e5 2. f4 exf4 3. Bc4 Nc6
739	C33	King's Gambit		KGA	Bishop's gambit, Ruy Lopez defense	1. e4 e5 2. f4 exf4 3. Bc4 c6
740	C33	King's Gambit		KGA	Bishop's gambit, Lopez-Gianutio counter-gambit	1. e4 e5 2. f4 exf4 3. Bc4 f5
741	C33	King's Gambit		KGA	Lopez-Gianutio counter-gambit, Hein Variation 	1. e4 e5 2. f4 exf4 3. Bc4 f5 4. Qe2 Qh4+ 5. Kd1 fxe4 6. Nc3 Kd8
742	C33	King's Gambit		KGA	Bishop's gambit, Bledow Variation 	1. e4 e5 2. f4 exf4 3. Bc4 d5
