A13	English	English	Neo-Catalan	1. c4 e6 2. Nf3 d5 3. g3 Nf6
A13	English	English	Neo-Catalan accepted	1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 dxc4
A14	English	English	Neo-Catalan declined	1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O
A14	English	English	Symmetrical, Keres defense	1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O c5 6. cxd5 Nxd5 7. Nc3 Nc6
A15	English	English, 1...Nf6 (Anglo-Indian defense)		1. c4 Nf6
A15	English	English orang-utan		1. c4 Nf6 2. b4
A15	English	English Opening		1. c4 Nf6 2. Nf3
A16	English	English Opening		1. c4 Nf6 2. Nc3
A16	English	English	Anglo-Gruenfeld defense	1. c4 Nf6 2. Nc3 d5
A16	English	English	Anglo-Gruenfeld, Smyslov defense	1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. g3 g6 5. Bg2 Nxc3
A16	English	English	Anglo-Gruenfeld, Czech defense	1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. g3 g6 5. Bg2 Nb6
A16	English	English	Anglo-Gruenfeld defense	1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. Nf3
A16	English	English	Anglo-Gruenfeld defense, Korchnoi Variation 	1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. Nf3 g6 5. g3 Bg7 6. Bg2 e5
A17	English	English Opening		1. c4 Nf6 2. Nc3 e6
A17	English	English	Queens Indian formation	1. c4 Nf6 2. Nc3 e6 3. Nf3 b6
A17	English	English	Queens Indian, Romanishin Variation 	1. c4 Nf6 2. Nc3 e6 3. Nf3 b6 4. e4 Bb7 5. Bd3
A17	English	English	Nimzo-English Opening	1. c4 Nf6 2. Nc3 e6 3. Nf3 Bb4
A18	English	English	Mikenas-Carls Variation 	1. c4 Nf6 2. Nc3 e6 3. e4
A18	English	English	Mikenas-Carls, Flohr Variation 	1. c4 Nf6 2. Nc3 e6 3. e4 d5 4. e5
A18	English	English	Mikenas-Carls, Kevitz Variation 	1. c4 Nf6 2. Nc3 e6 3. e4 Nc6
A19	English	English	Mikenas-Carls, Sicilian Variation 	1. c4 Nf6 2. Nc3 e6 3. e4 c5
A20	English	English Opening		1. c4 e5
A20	English	English, Nimzovich Variation 		1. c4 e5 2. Nf3
A20	English	English, Nimzovich, Flohr Variation 		1. c4 e5 2. Nf3 e4
A21	English	English Opening		1. c4 e5 2. Nc3
A21	English	English, Troeger defense		1. c4 e5 2. Nc3 d6 3. g3 Be6 4. Bg2 Nc6
A21	English	English, Keres Variation 		1. c4 e5 2. Nc3 d6 3. g3 c6
A21	English	English Opening		1. c4 e5 2. Nc3 d6 3. Nf3
A21	English	English, Smyslov defense		1. c4 e5 2. Nc3 d6 3. Nf3 Bg4
A21	English	English, Kramnik-Shirov counterattack		1. c4 e5 2. Nc3 Bb4
A22	English	English Opening		1. c4 e5 2. Nc3 Nf6
A22	English	English	Bellon gambit	1. c4 e5 2. Nc3 Nf6 3. Nf3 e4 4. Ng5 b5
A22	English	English	Carls' Bremen system	1. c4 e5 2. Nc3 Nf6 3. g3
A22	English	English	Bremen, reverse Dragon	1. c4 e5 2. Nc3 Nf6 3. g3 d5
A22	English	English	Bremen, Smyslov system	1. c4 e5 2. Nc3 Nf6 3. g3 Bb4
A23	English	English	Bremen system, Keres Variation 	1. c4 e5 2. Nc3 Nf6 3. g3 c6
